"date","DAP/MAP fob US Gulf_min","DAP/MAP fob US Gulf_max","DAP fob N. Africa_min","DAP fob N. Africa_max","DAP fob China_min","DAP fob China_max","DAP cfr India_min","DAP cfr India_max","MAP fob Baltic_min","MAP fob Baltic_max","MAP cfr Brazil_min","MAP cfr Brazil_max","PhosAcid 100% P2O5 cfr India_min","PhosAcid 100% P2O5 cfr India_max"
"2019M01","405","417","415","450","391","405","405","417","400","415","425","435","750","768"
"2019M02","383","410","390","435","388","393","400","405","385","410","395","425","750","750"
"2019M03","373","391","390","430","382","391","397","402","365","400","395","410","750","750"
"2019M04","371","383","390","420","374","384","389","400","365","380","390","400","728","728"
"2019M05","352","379","355","415","355","371","370","388","352","373","370","390","728","728"
"2019M06","337","353","331","395","337","355","346","370","335","360","360","365","655","728"
"2019M07","320","342","331","372","334","340","346","352","317","337","345","357","655","655"
"2019M08","306","327","312","365","320","339","338","351","298","331","330","355","655","655"
"2019M09","292","326","308","340","311","323","329","339","286","305","320","330","655","655"
"2019M10","278","308","300","340","310","316","329","332","277","305","305","320","625","625"
"2019M11","267","276","275","310","299","311","315","325","262","298","290","298","625","625"
"2019M12","255","270","275","310","278","293","295","305","257","260","280","285","625","625"
"2020M01","251","291","275","305","273","295","290","299","250","291","276","310","590","590"
"2020M02","295","311","280","315","273","297","290","310","289","306","313","330","590","590"
"2020M03","294","315","280","315","295","310","310","320","280","307","315","330","590","590"
"2020M04","290","310","287","315","305","310","314","320","280","302","305","320","590","590"
"2020M05","287","301","285","310","305","310","314","315","285","300","300","310","590","607"
"2020M06","294","312","285","315","305","310","314","327","280","307","310","325","607","607"
"2020M07","309","318","285","325","308","320","317","326","280","320","325","335","625","625"
"2020M08","319","340","300","345","317","337","330","341","291","335","340","355","625","625"
"2020M09","332","348","323","358","340","360","348","365","314","355","355","368","625","625"
"2020M10","342","361","330","365","355","364","365","375","329","365","365","368","689","689"
"2020M11","346","361","340","375","358","364","365","375","326","377","367","375","689","689"
"2020M12","357","390","340","410","360","375","365","365","324","415","380","410","689","689"
"2021M01","387","470","380","476","390","460","375","380","382","500","415","490","795","795"
"2021M02","497","580","490","578","480","550","425","446","463","565","540","600","795","795"
"2021M03","580","601","545","602","530","570","445","515","509","591","615","635","795","795"
"2021M04","568","597","526","596","530","549","543","567","524","594","595","630","998","998"
"2021M05","572","627","523","630","530","545","560","566","541","635","600","655","998","998"
"2021M06","605","723","538","716","540","570","565","590","588","713","660","755","998","998"
"2021M07","706","734","675","757","565","580","590","632","650","722","723","770","1165","1165"
"2021M08","678","721","630","717","610","630","630","665","583","710","720","760","1165","1165"
"2021M09","671","694","630","700","630","635","664","678","587","695","710","725","1165","1165"
"2021M10","700","764","637","790","635","750","674","780","629","790","740","810","1165","1165"
"2021M11","761","789","754","955","750","782","796","810","725","890","810","830","1330","1330"
"2021M12","774","821","770","955","880","910","799","900","756","900","815","860","1330","1330"
"2022M01","815","835","814","925","860","910","910","927","810","910","850","870","1400","1550"
"2022M02","819","875","816","925","830","903","918","924","812","915","850","905","1530","1530"
"2022M03","976","1263","885","1270","880","1100","920","926","810","1275","1010","1300","1530","1530"
"2022M04","1190","1263","1186","1270","1050","1100","920","926","810","1275","1220","1300","1530","1530"
